pid,block,cond,keypress,acc,rt
001,1,learned,q,1,0.8312
001,1,novel,q,0,1.4346
001,1,novel,p,1,1.4342
001,1,learned,q,1,1.3478
001,1,learned,q,1,0.872
001,1,learned,p,0,1.3414
001,1,learned,q,1,0.9154
001,1,novel,q,0,0.9519
001,1,novel,p,1,0.9842
001,1,learned,q,1,1.0089
001,1,novel,p,1,1.231
001,1,novel,p,1,1.0004
001,1,learned,p,0,1.1928
001,1,novel,q,0,0.9741
001,1,novel,p,1,1.0497
001,1,learned,p,0,1.5137
001,1,novel,p,1,1.1209
001,1,novel,p,1,1.4222
001,1,learned,q,1,1.1025
001,1,novel,p,1,0.7052
001,1,learned,q,1,1.6909
001,1,learned,p,0,1.9325
001,1,novel,p,1,1.4169
001,1,novel,p,1,0.7772
001,1,learned,q,1,0.9743
001,1,novel,p,1,0.9386
001,1,learned,p,0,1.2637
001,1,novel,p,1,1.2657
001,1,learned,q,1,1.5993
001,1,novel,q,0,1.3344
001,1,learned,p,0,1.3759
001,1,learned,p,0,1.6799
001,1,novel,p,1,0.8044
001,1,learned,q,1,0.8794
001,1,learned,q,1,1.3318
001,1,novel,p,1,1.3056
001,1,novel,p,1,1.2137
001,1,learned,q,1,1.2543
001,1,learned,q,1,1.3396
001,1,learned,q,1,0.8875
001,1,novel,p,1,1.3693
001,1,novel,p,1,1.3136
001,1,learned,q,1,1.0065
001,1,learned,p,0,1.1712
001,1,learned,q,1,0.8989
001,1,novel,p,1,1.1497
001,1,learned,p,0,0.9619
001,1,novel,p,1,0.9899
001,1,novel,p,1,0.9735
001,1,learned,p,0,1.2676
001,1,novel,p,1,1.0307
001,1,learned,q,1,1.1214
001,1,novel,p,1,0.7877
001,1,novel,p,1,0.9554
001,1,learned,q,1,1.2781
001,1,novel,p,1,1.239
001,1,novel,q,0,1.4525
001,1,learned,q,1,0.8377
001,1,novel,q,0,1.0813
001,2,novel,q,0,1.4417
001,2,novel,p,1,0.8447
001,2,novel,p,1,1.0857
001,2,novel,p,1,1.003
001,2,novel,p,1,0.7369
001,2,learned,q,1,1.3288
001,2,learned,q,1,0.8071
001,2,novel,p,1,0.8203
001,2,learned,q,1,0.9777
001,2,learned,p,0,1.1158
001,2,novel,p,1,0.9815
001,2,learned,q,1,1.0332
001,2,learned,q,1,1.542
001,2,novel,q,0,1.8987
001,2,learned,q,1,0.8678
001,2,learned,q,1,1.2757
001,2,learned,q,1,1.1479
001,2,novel,q,0,0.9621
001,2,learned,q,1,0.9545
001,2,learned,q,1,1.397
001,2,learned,p,0,0.8514
001,2,learned,q,1,0.7225
001,2,novel,q,0,1.1408
001,2,learned,q,1,1.7203
001,2,novel,p,1,1.1444
001,2,learned,p,0,0.8667
001,2,novel,p,1,0.9943
001,2,novel,p,1,1.2974
001,2,learned,q,1,1.1738
001,2,novel,p,1,1.1118
001,2,learned,p,0,1.5173
001,2,novel,p,1,1.0564
001,2,novel,p,1,0.9133
001,2,novel,p,1,1.0525
001,2,learned,q,1,0.9081
001,2,novel,p,1,1.1578
001,2,learned,q,1,1.02
001,2,novel,q,0,1.4195
001,2,learned,p,0,1.4799
001,2,novel,p,1,1.1052
001,2,learned,q,1,0.9619
001,2,novel,q,0,1.3966
001,2,novel,p,1,1.1666
001,2,novel,q,0,1.5225
001,2,novel,p,1,1.0265
001,2,learned,p,0,0.9693
001,2,learned,q,1,1.2287
001,2,learned,q,1,1.0037
001,2,novel,p,1,0.8042
001,2,novel,p,1,1.7942
001,2,novel,p,1,1.4359
001,2,novel,p,1,0.9332
001,2,learned,q,1,1.6183
001,2,novel,q,0,0.9365
001,2,learned,q,1,1.0727
001,2,learned,p,0,1.2573
001,2,learned,q,1,1.5099
001,2,learned,q,1,0.9156
001,2,learned,p,0,1.3907
001,2,novel,p,1,1.0572
001,3,learned,q,1,0.8575
001,3,learned,q,1,0.8902
001,3,learned,p,0,0.7896
001,3,novel,q,0,1.246
001,3,novel,p,1,0.818
001,3,learned,q,1,0.994
001,3,learned,q,1,0.6872
001,3,novel,p,1,0.9519
001,3,novel,p,1,0.9424
001,3,novel,p,1,0.6574
001,3,novel,p,1,0.7624
001,3,learned,p,0,0.7476
001,3,novel,p,1,1.1354
001,3,learned,q,1,1.2313
001,3,novel,p,1,1.1799
001,3,learned,q,1,1.4506
001,3,novel,p,1,1.1267
001,3,learned,q,1,1.078
001,3,learned,p,0,0.9818
001,3,novel,q,0,1.2938
001,3,learned,p,0,1.4518
001,3,novel,p,1,0.7133
001,3,learned,p,0,1.2076
001,3,novel,p,1,1.0602
001,3,novel,p,1,1.5293
001,3,learned,q,1,1.1058
001,3,novel,q,0,1.2408
001,3,learned,q,1,1.0887
001,3,learned,q,1,1.0877
001,3,novel,p,1,1.1525
001,3,learned,p,0,1.2428
001,3,novel,p,1,0.898
001,3,novel,p,1,1.6569
001,3,novel,p,1,0.6975
001,3,novel,p,1,1.8496
001,3,novel,q,0,1.1667
001,3,learned,q,1,0.9171
001,3,learned,p,0,1.0542
001,3,novel,p,1,0.6316
001,3,learned,p,0,0.9508
001,3,novel,p,1,0.9698
001,3,learned,q,1,1.5951
001,3,novel,p,1,0.8481
001,3,novel,p,1,1.1398
001,3,novel,p,1,0.7688
001,3,learned,q,1,1.0201
001,3,learned,q,1,1.01
001,3,novel,p,1,1.1728
001,3,learned,p,0,0.8942
001,3,novel,p,1,0.9939
001,3,learned,q,1,0.6929
001,3,novel,p,1,0.6691
001,3,novel,p,1,1.1658
001,3,learned,p,0,1.2173
001,3,learned,p,0,1.3196
001,3,learned,q,1,1.2408
001,3,learned,p,0,1.0334
001,3,learned,q,1,1.4142
001,3,novel,p,1,0.7132
002,1,learned,q,1,1.5903
002,1,novel,q,0,1.2941
002,1,novel,p,1,1.6053
002,1,novel,p,1,1.1497
002,1,novel,q,0,0.9682
002,1,novel,p,1,0.954
002,1,learned,q,1,1.6105
002,1,learned,q,1,0.8547
002,1,learned,q,1,1.1872
002,1,learned,q,1,1.4866
002,1,learned,q,1,1.0364
002,1,novel,p,1,1.5351
002,1,learned,q,1,1.0026
002,1,novel,p,1,0.7723
002,1,learned,q,1,0.9923
002,1,novel,p,1,1.1205
002,1,learned,p,0,1.2347
002,1,novel,p,1,0.8577
002,1,learned,q,1,1.0526
002,1,learned,p,0,1.1034
002,1,learned,q,1,1.2856
002,1,learned,p,0,1.0606
002,1,learned,q,1,0.9715
002,1,learned,p,0,1.0416
002,1,learned,p,0,1.5722
002,1,learned,q,1,1.1213
002,1,novel,p,1,0.9564
002,1,novel,q,0,1.1879
002,1,learned,p,0,0.8159
002,1,learned,q,1,0.8549
002,1,novel,p,1,1.2864
002,1,novel,p,1,0.8528
002,1,novel,p,1,0.9419
002,1,learned,p,0,1.1528
002,1,novel,q,0,1.0488
002,1,learned,p,0,1.3381
002,1,novel,p,1,0.8877
002,1,learned,p,0,0.8882
002,1,novel,p,1,1.1362
002,1,learned,p,0,0.9043
002,1,learned,p,0,0.9356
002,1,novel,p,1,0.9051
002,1,novel,p,1,1.0713
002,1,novel,p,1,0.9219
002,1,novel,p,1,0.9266
002,1,learned,p,0,1.036
002,1,novel,p,1,1.1658
002,1,learned,q,1,1.3219
002,1,novel,q,0,0.82
002,1,novel,q,0,1.0889
002,1,novel,p,1,1.0867
002,1,novel,p,1,0.8532
002,1,learned,q,1,1.2677
002,1,learned,p,0,0.8196
002,1,novel,q,0,1.0025
002,1,learned,q,1,0.9531
002,1,learned,p,0,0.9042
002,1,novel,p,1,0.9365
002,1,novel,p,1,0.9366
002,2,learned,q,1,0.8903
002,2,novel,p,1,0.9377
002,2,learned,q,1,1.0598
002,2,novel,p,1,0.9382
002,2,novel,p,1,0.7998
002,2,learned,q,1,0.7388
002,2,novel,p,1,0.9581
002,2,novel,p,1,0.8699
002,2,novel,p,1,0.9536
002,2,learned,p,0,1.1077
002,2,learned,q,1,1.5693
002,2,learned,p,0,0.8704
002,2,novel,p,1,0.8791
002,2,learned,p,0,1.052
002,2,learned,q,1,1.4995
002,2,learned,q,1,1.353
002,2,novel,p,1,0.8364
002,2,learned,q,1,1.4432
002,2,novel,p,1,0.7593
002,2,novel,p,1,0.9183
002,2,novel,p,1,1.0524
002,2,learned,p,0,1.2203
002,2,novel,p,1,0.7372
002,2,novel,p,1,0.8864
002,2,learned,p,0,0.9907
002,2,learned,q,1,1.254
002,2,learned,p,0,0.8365
002,2,novel,q,0,1.1897
002,2,novel,p,1,0.8874
002,2,novel,p,1,0.8524
002,2,learned,p,0,1.004
002,2,novel,p,1,1.1263
002,2,novel,p,1,1.4531
002,2,novel,p,1,0.9666
002,2,novel,p,1,0.8507
002,2,learned,p,0,1.0257
002,2,novel,p,1,1.1024
002,2,learned,q,1,1.1708
002,2,learned,q,1,1.1045
002,2,novel,p,1,0.8533
002,2,novel,p,1,0.9891
002,2,novel,p,1,0.9078
002,2,learned,q,1,1.44
002,2,novel,q,0,1.2208
002,2,novel,p,1,0.7916
002,2,learned,p,0,0.9381
002,2,learned,q,1,0.9382
002,2,learned,p,0,0.9908
002,2,learned,q,1,0.8035
002,2,learned,q,1,1.1856
002,2,novel,q,0,1.1017
002,2,learned,p,0,1.0198
002,2,learned,q,1,1.4183
002,2,novel,p,1,0.7537
002,2,novel,p,1,0.7524
002,2,novel,q,0,1.0856
002,2,learned,p,0,1.0042
002,2,learned,p,0,0.8187
002,2,learned,p,0,0.856
002,2,learned,p,0,0.9677
002,3,novel,p,1,0.9101
002,3,novel,q,0,1.5204
002,3,learned,q,1,0.8694
002,3,novel,p,1,1.0543
002,3,learned,q,1,0.919
002,3,learned,p,0,1.1193
