param,value,.lower,.upper,.width,.point,.interval
A,1.9191042676333334,1.8187641811083333,2.0217209362283333,0.95,median,qi
B_lRlearned,1.8909280456333333,1.82233665054,1.9596787743375002,0.95,median,qi
B_lRnovel,2.24580085335,2.1685840016125004,2.322916097353333,0.95,median,qi
sv_lMTRUE,0.8734672631666667,0.8541871184875,0.8924990483891667,0.95,median,qi
t0,0.17908058756666667,0.16846007303000002,0.18975666768,0.95,median,qi
v_Slearned_lMFALSE,2.953801461566667,2.8698701052383333,3.0390133994,0.95,median,qi
v_Slearned_lMTRUE,3.0996682299,3.0199306453241666,3.18115292161,0.95,median,qi
v_Snovel_lMFALSE,2.3713578495,2.2925476520683334,2.451183319209167,0.95,median,qi
v_Snovel_lMTRUE,3.520229436766667,3.433265245956667,3.607681254835,0.95,median,qi
