.draw,param,value
16,sv_lMTRUE,0.8916831310666666
16,B_lRnovel,2.3028915901
16,B_lRlearned,1.9275206234333333
16,A,1.8029395746666668
16,t0,0.16879694873333334
17,v_Snovel_lMTRUE,3.5831130527666666
17,v_Snovel_lMFALSE,2.3774807046666666
17,v_Slearned_lMTRUE,3.1095765418666668
17,v_Slearned_lMFALSE,3.0018726207
17,sv_lMTRUE,0.8919128005
17,B_lRnovel,2.302544708266667
17,B_lRlearned,1.9155028947333337
17,A,1.9244726382333333
17,t0,0.17402679193333334
18,v_Snovel_lMTRUE,3.5379695678
18,v_Snovel_lMFALSE,2.3530948646333334
18,v_Slearned_lMTRUE,3.0629220675
18,v_Slearned_lMFALSE,2.9662156197
18,sv_lMTRUE,0.8911689345333333
18,B_lRnovel,2.2946148366666668
18,B_lRlearned,1.9068325215
18,A,1.8682591009333336
18,t0,0.17211603663333333
19,v_Snovel_lMTRUE,3.5664223925
19,v_Snovel_lMFALSE,2.384735527066667
19,v_Slearned_lMTRUE,3.0965353684666668
19,v_Slearned_lMFALSE,2.9958009128666667
19,sv_lMTRUE,0.8833708748
19,B_lRnovel,2.2902735180666665
19,B_lRlearned,1.9117708580666664
19,A,1.9143035715
19,t0,0.17504181876666666
20,v_Snovel_lMTRUE,3.5087032413
20,v_Snovel_lMFALSE,2.3690894252666665
20,v_Slearned_lMTRUE,3.076420213033334
20,v_Slearned_lMFALSE,2.9325423422666668
20,sv_lMTRUE,0.8848105491666667
20,B_lRnovel,2.2802132821333334
20,B_lRlearned,1.9182561443333332
20,A,1.8398105230666664
20,t0,0.17312550696666668
21,v_Snovel_lMTRUE,3.516769078
21,v_Snovel_lMFALSE,2.3850117135333333
21,v_Slearned_lMTRUE,3.103986721866667
21,v_Slearned_lMFALSE,2.9509582095
21,sv_lMTRUE,0.8859239067333333
21,B_lRnovel,2.2857223666
21,B_lRlearned,1.9348474117333336
21,A,1.8769567826
21,t0,0.1718256038
22,v_Snovel_lMTRUE,3.4828860766666665
22,v_Snovel_lMFALSE,2.3785898781333334
22,v_Slearned_lMTRUE,3.0715581435
22,v_Slearned_lMFALSE,2.9155049897666667
22,sv_lMTRUE,0.8741488141
22,B_lRnovel,2.2782531221
22,B_lRlearned,1.9237053716666668
22,A,1.8304871126666664
22,t0,0.17297352273333333
23,v_Snovel_lMTRUE,3.4961467436
23,v_Snovel_lMFALSE,2.3699557742
23,v_Slearned_lMTRUE,3.0750163182666665
23,v_Slearned_lMFALSE,2.9356797698333335
23,sv_lMTRUE,0.8689809802666667
23,B_lRnovel,2.287321425133334
23,B_lRlearned,1.9302988240333336
23,A,1.8381769367666667
23,t0,0.17219654656666666
24,v_Snovel_lMTRUE,3.470057880466667
24,v_Snovel_lMFALSE,2.3434904656
24,v_Slearned_lMTRUE,3.063924705233333
24,v_Slearned_lMFALSE,2.9262336340333333
24,sv_lMTRUE,0.8660329860333333
24,B_lRnovel,2.2236393771
24,B_lRlearned,1.8853238395666667
24,A,1.8623409173333336
24,t0,0.17756827976666667
25,v_Snovel_lMTRUE,3.469970861533333
25,v_Snovel_lMFALSE,2.3629392310666666
25,v_Slearned_lMTRUE,3.0875868770333335
25,v_Slearned_lMFALSE,2.9097887905
25,sv_lMTRUE,0.8643631990666667
25,B_lRnovel,2.2428352310666666
25,B_lRlearned,1.9215033959333336
25,A,1.8618347883
25,t0,0.17166975576666663
26,v_Snovel_lMTRUE,3.5429868112666667
26,v_Snovel_lMFALSE,2.3742645134
26,v_Slearned_lMTRUE,3.1041457360666667
26,v_Slearned_lMFALSE,2.9792943276
26,sv_lMTRUE,0.8730994188333333
26,B_lRnovel,2.273678665233333
26,B_lRlearned,1.9062067754333336
26,A,1.8940651114333331
26,t0,0.1767121808
27,v_Snovel_lMTRUE,3.5043512988333334
27,v_Snovel_lMFALSE,2.3450879399333333
27,v_Slearned_lMTRUE,3.0658142856
27,v_Slearned_lMFALSE,2.943322976266667
27,sv_lMTRUE,0.8745043818
27,B_lRnovel,2.2253943634
27,B_lRlearned,1.8717090032666663
27,A,1.8960562911666667
27,t0,0.1804157872
28,v_Snovel_lMTRUE,3.4910496028333333
28,v_Snovel_lMFALSE,2.3513288911
28,v_Slearned_lMTRUE,3.0713897508
28,v_Slearned_lMFALSE,2.935128085666667
28,sv_lMTRUE,0.8609811973
28,B_lRnovel,2.2633336217333335
28,B_lRlearned,1.9083249086333336
28,A,1.8511028850666664
28,t0,0.17574263016666666
29,v_Snovel_lMTRUE,3.5477952444666667
29,v_Snovel_lMFALSE,2.3870267013666666
29,v_Slearned_lMTRUE,3.1268910626666666
29,v_Slearned_lMFALSE,2.983214677033333
29,sv_lMTRUE,0.8738771242
29,B_lRnovel,2.2847645995666666
29,B_lRlearned,1.9155062162333336
29,A,1.9225878978666664
29,t0,0.17469022113333332
30,v_Snovel_lMTRUE,3.5751988132
30,v_Snovel_lMFALSE,2.4033625777
30,v_Slearned_lMTRUE,3.1397846086666665
30,v_Slearned_lMFALSE,2.9990782885
30,sv_lMTRUE,0.8802692194333334
30,B_lRnovel,2.2953038276333335
30,B_lRlearned,1.9326538641
30,A,1.9225102519333337
30,t0,0.1751696591
31,v_Snovel_lMTRUE,3.5654382523
31,v_Snovel_lMFALSE,2.409406472166667
31,v_Slearned_lMTRUE,3.1322048734666668
31,v_Slearned_lMFALSE,2.9948749785
31,sv_lMTRUE,0.8806901001333334
31,B_lRnovel,2.2626704810666665
31,B_lRlearned,1.8991074149333331
31,A,1.9428327860333332
31,t0,0.18075009863333333
32,v_Snovel_lMTRUE,3.5600794413
32,v_Snovel_lMFALSE,2.3932530986666665
32,v_Slearned_lMTRUE,3.1244820089666665
32,v_Slearned_lMFALSE,2.9912340925666667
32,sv_lMTRUE,0.8881631338
