pid,task,stim,keypress,acc,rt,Sex,Age
002,face,noise,1,1,3.8289,Female,58
002,face,noise,3,1,3.4673,Female,58
002,face,noise,1,1,8.3312,Female,58
002,face,noise,2,0,4.6125,Female,58
002,face,noise,1,1,4.8188,Female,58
002,face,noise,2,0,6.8782,Female,58
002,face,noise,2,0,4.8136,Female,58
002,car,no_noise,2,1,8.2832,Female,58
002,car,no_noise,2,0,4.8589,Female,58
002,car,no_noise,2,0,5.9195,Female,58
002,car,no_noise,2,0,4.2772,Female,58
002,car,no_noise,2,1,3.0035,Female,58
002,car,no_noise,3,0,8.5715,Female,58
002,car,no_noise,3,1,10.5534,Female,58
002,car,no_noise,1,1,3.9362,Female,58
002,car,no_noise,1,1,5.7597,Female,58
002,car,no_noise,2,0,7.6199,Female,58
002,car,no_noise,2,0,6.7368,Female,58
002,car,no_noise,3,1,3.2048,Female,58
002,car,no_noise,2,1,2.6532,Female,58
002,car,no_noise,1,0,4.1015,Female,58
002,car,no_noise,3,1,7.1365,Female,58
002,car,no_noise,3,0,7.1028,Female,58
002,car,no_noise,1,1,7.1518,Female,58
002,car,no_noise,1,1,7.2027,Female,58
002,car,no_noise,2,1,3.6704,Female,58
002,car,no_noise,3,0,7.8698,Female,58
002,car,no_noise,3,0,10.1503,Female,58
002,car,no_noise,3,0,4.9318,Female,58
002,car,no_noise,3,1,5.5899,Female,58
002,car,no_noise,2,1,3.5739,Female,58
002,car,no_noise,3,0,7.6586,Female,58
002,car,no_noise,3,1,5.72,Female,58
002,car,no_noise,2,1,5.9032,Female,58
002,car,no_noise,1,0,8.7187,Female,58
002,car,no_noise,3,0,6.2519,Female,58
002,car,no_noise,2,0,4.411,Female,58
002,car,noise,3,0,8.9937,Female,58
002,car,noise,3,1,2.2961,Female,58
002,car,noise,3,1,3.961,Female,58
002,car,noise,2,0,4.8772,Female,58
002,car,noise,2,1,2.0659,Female,58
002,car,noise,2,1,3.4195,Female,58
002,car,noise,1,1,6.3127,Female,58
002,car,noise,1,1,2.5703,Female,58
002,car,noise,1,0,3.1114,Female,58
002,car,noise,1,1,4.2791,Female,58
002,car,noise,1,1,3.2431,Female,58
002,car,noise,1,0,6.7989,Female,58
002,car,noise,2,1,5.708,Female,58
002,car,noise,3,1,8.6994,Female,58
002,car,noise,3,1,8.3904,Female,58
002,car,noise,1,0,8.0449,Female,58
002,car,noise,2,1,3.726,Female,58
002,car,noise,2,1,4.5636,Female,58
002,car,noise,2,1,2.2627,Female,58
002,car,noise,2,1,7.4,Female,58
002,car,noise,3,1,3.4026,Female,58
002,car,noise,3,1,4.5074,Female,58
002,car,noise,3,0,5.0814,Female,58
002,car,noise,3,1,4.6458,Female,58
003,face,no_noise,1,1,3.4906,Female,44
003,face,no_noise,2,1,2.5108,Female,44
003,face,no_noise,1,1,2.6623,Female,44
003,face,no_noise,3,1,3.3954,Female,44
003,face,no_noise,1,0,11.3987,Female,44
003,face,no_noise,3,0,2.1093,Female,44
003,face,no_noise,1,1,3.6477,Female,44
003,face,no_noise,3,1,1.8949,Female,44
003,face,no_noise,2,1,3.5639,Female,44
003,face,no_noise,2,0,3.7452,Female,44
003,face,no_noise,2,1,3.8269,Female,44
003,face,no_noise,3,1,2.8637,Female,44
003,face,no_noise,3,0,2.3149,Female,44
003,face,no_noise,1,1,2.1738,Female,44
003,face,no_noise,2,1,1.1171,Female,44
003,face,no_noise,2,1,3.2683,Female,44
003,face,no_noise,3,0,6.5137,Female,44
003,face,no_noise,3,0,4.0169,Female,44
003,face,no_noise,2,0,2.6159,Female,44
003,face,no_noise,3,1,1.5848,Female,44
003,face,no_noise,1,1,3.4502,Female,44
003,face,no_noise,2,1,1.6503,Female,44
003,face,no_noise,2,1,4.6699,Female,44
003,face,no_noise,1,1,3.2115,Female,44
003,face,no_noise,3,1,3.6785,Female,44
003,face,no_noise,3,0,3.3798,Female,44
003,face,no_noise,2,1,1.1868,Female,44
003,face,no_noise,1,1,3.984,Female,44
003,face,no_noise,1,1,2.0448,Female,44
003,face,no_noise,3,1,2.234,Female,44
003,face,noise,2,1,2.8021,Female,44
003,face,noise,3,1,2.2112,Female,44
003,face,noise,1,1,3.0548,Female,44
003,face,noise,1,1,5.2953,Female,44
003,face,noise,3,1,4.1949,Female,44
003,face,noise,1,1,2.4094,Female,44
003,face,noise,3,0,3.931,Female,44
003,face,noise,2,0,1.8944,Female,44
003,face,noise,3,0,1.7286,Female,44
003,face,noise,2,1,1.0348,Female,44
003,face,noise,2,1,3.7114,Female,44
003,face,noise,2,1,3.8652,Female,44
003,face,noise,1,1,5.3451,Female,44
003,face,noise,2,1,3.4535,Female,44
003,face,noise,1,1,1.7615,Female,44
003,face,noise,2,1,2.8546,Female,44
003,face,noise,3,1,2.8587,Female,44
003,face,noise,3,0,3.1048,Female,44
003,face,noise,3,1,1.2676,Female,44
003,face,noise,1,1,3.7472,Female,44
003,face,noise,2,0,2.6117,Female,44
003,face,noise,1,1,1.0462,Female,44
003,face,noise,1,1,2.7121,Female,44
003,face,noise,1,0,2.3286,Female,44
003,car,no_noise,3,0,5.7361,Female,44
003,car,no_noise,3,0,2.7201,Female,44
003,car,no_noise,3,0,2.5405,Female,44
003,car,no_noise,3,1,5.2984,Female,44
003,car,no_noise,2,1,3.5373,Female,44
003,car,no_noise,3,0,3.0907,Female,44
003,car,no_noise,3,1,4.4483,Female,44
003,car,no_noise,1,1,3.0392,Female,44
003,car,no_noise,1,1,2.2943,Female,44
003,car,no_noise,1,0,3.1322,Female,44
003,car,no_noise,1,0,2.6477,Female,44
003,car,no_noise,3,1,4.6296,Female,44
003,car,no_noise,3,0,4.646,Female,44
003,car,no_noise,1,0,3.2466,Female,44
003,car,no_noise,3,1,5.984,Female,44
003,car,no_noise,3,0,1.6919,Female,44
003,car,no_noise,1,1,3.122,Female,44
003,car,no_noise,1,1,1.998,Female,44
003,car,no_noise,3,0,3.6908,Female,44
003,car,no_noise,1,1,2.3441,Female,44
003,car,no_noise,3,0,2.276,Female,44
003,car,no_noise,3,0,2.2493,Female,44
003,car,no_noise,2,0,3.253,Female,44
003,car,no_noise,2,1,1.9299,Female,44
003,car,no_noise,2,1,2.1559,Female,44
003,car,no_noise,2,0,2.2581,Female,44
003,car,no_noise,2,1,2.0051,Female,44
003,car,no_noise,2,1,2.645,Female,44
003,car,no_noise,1,1,3.6493,Female,44
003,car,no_noise,1,1,2.1556,Female,44
003,car,noise,1,0,3.4175,Female,44
003,car,noise,3,1,3.3597,Female,44
003,car,noise,3,1,1.441,Female,44
003,car,noise,2,0,2.2885,Female,44
003,car,noise,3,0,2.1988,Female,44
003,car,noise,2,1,1.4586,Female,44
003,car,noise,3,0,2.3708,Female,44
003,car,noise,3,0,2.4573,Female,44
003,car,noise,1,0,2.2205,Female,44
003,car,noise,1,1,1.8255,Female,44
003,car,noise,1,1,1.6051,Female,44
003,car,noise,1,0,1.7518,Female,44
003,car,noise,1,0,2.7379,Female,44
003,car,noise,2,0,2.6473,Female,44
003,car,noise,3,1,1.7804,Female,44
003,car,noise,2,1,2.0465,Female,44
003,car,noise,1,0,3.5118,Female,44
003,car,noise,2,1,1.6474,Female,44
003,car,noise,2,1,1.4325,Female,44
003,car,noise,2,1,2.2774,Female,44
003,car,noise,3,1,2.3291,Female,44
003,car,noise,3,1,2.5413,Female,44
