pid,param,value,.lower,.upper,.width,.point,.interval
007,v_Slearned_lMTRUE,3.6180408149999996,2.73480461425,4.5149668425,0.95,median,qi
007,v_Snovel_lMFALSE,2.512226665,1.6050175220000003,3.41367853975,0.95,median,qi
007,v_Snovel_lMTRUE,3.785591655,2.8427419745,4.769398432749999,0.95,median,qi
008,A,0.570586085,0.22405706175000004,1.60496951325,0.95,median,qi
008,B_lRlearned,1.3376656,0.7464843730000001,2.0893460315,0.95,median,qi
008,B_lRnovel,1.785471955,1.04606216825,2.6920121815,0.95,median,qi
008,sv_lMTRUE,0.920104435,0.75052461275,1.1223125869999997,0.95,median,qi
008,t0,0.26659243,0.13060231225000002,0.39763179125,0.95,median,qi
008,v_Slearned_lMFALSE,2.14275153,1.2599983492500002,3.1142996089999997,0.95,median,qi
008,v_Slearned_lMTRUE,2.458276325,1.6807235820000004,3.3648106149999997,0.95,median,qi
008,v_Snovel_lMFALSE,1.718957365,0.8503426545,2.640919017749999,0.95,median,qi
008,v_Snovel_lMTRUE,2.87060175,2.0268650700000004,3.86667915325,0.95,median,qi
009,A,0.794011305,0.25780070925000004,2.93616075575,0.95,median,qi
009,B_lRlearned,1.3754267599999999,0.81781378725,1.9215841169999996,0.95,median,qi
009,B_lRnovel,2.3953015950000003,1.5669145157500002,3.18811445225,0.95,median,qi
009,sv_lMTRUE,0.88064422,0.7066145115000001,1.0858556757500002,0.95,median,qi
009,t0,0.16247264,0.07255114600000002,0.300096059,0.95,median,qi
009,v_Slearned_lMFALSE,2.6484112250000003,1.7272807215,3.8752116734999995,0.95,median,qi
009,v_Slearned_lMTRUE,2.38109385,1.6056341945000001,3.6100088230000003,0.95,median,qi
009,v_Snovel_lMFALSE,1.44763941,0.5941320987500001,2.6360768419999996,0.95,median,qi
009,v_Snovel_lMTRUE,3.138093665,2.28234767825,4.40435320075,0.95,median,qi
010,A,3.020475625,0.6767334890000003,4.402210681500001,0.95,median,qi
010,B_lRlearned,2.148241675,1.30947103,2.92628061575,0.95,median,qi
010,B_lRnovel,1.903862715,1.01595219,2.7716499205000003,0.95,median,qi
010,sv_lMTRUE,0.8115482249999999,0.6324061195,1.0335355270000002,0.95,median,qi
010,t0,0.194080095,0.0697822855,0.36769017624999994,0.95,median,qi
010,v_Slearned_lMFALSE,3.003310665,1.6391943812500005,4.06502645825,0.95,median,qi
010,v_Slearned_lMTRUE,3.88333599,2.5514889445,4.82794407725,0.95,median,qi
010,v_Snovel_lMFALSE,3.14261724,1.84816085575,4.131746029999999,0.95,median,qi
010,v_Snovel_lMTRUE,3.5445550299999997,2.1512369430000002,4.59260522675,0.95,median,qi
011,A,2.322370875,0.62546922075,3.9220078399999996,0.95,median,qi
011,B_lRlearned,2.1964644900000003,1.4428867040000002,2.856631777,0.95,median,qi
011,B_lRnovel,2.798781135,1.85849930925,3.5959050647499997,0.95,median,qi
011,sv_lMTRUE,0.878121565,0.7010066110000002,1.0977638502499998,0.95,median,qi
011,t0,0.13639477,0.059366638250000006,0.29861247674999997,0.95,median,qi
011,v_Slearned_lMFALSE,3.3192301850000003,2.2112486567500005,4.36912436925,0.95,median,qi
011,v_Slearned_lMTRUE,3.416657455,2.3531038117499996,4.420735549249999,0.95,median,qi
011,v_Snovel_lMFALSE,2.5629906599999996,1.5343933795000002,3.55979611275,0.95,median,qi
011,v_Snovel_lMTRUE,3.8708617,2.73412274725,4.9403737785,0.95,median,qi
012,A,1.9541692099999999,1.074889403,2.77976165525,0.95,median,qi
012,B_lRlearned,2.11088526,1.209807526,3.395807602749999,0.95,median,qi
012,B_lRnovel,2.8322331600000004,1.7275219935000004,4.2672003115,0.95,median,qi
012,sv_lMTRUE,0.9840934299999999,0.7855337237500001,1.2247203475,0.95,median,qi
012,t0,0.68362806,0.50384321375,0.827633687,0.95,median,qi
012,v_Slearned_lMFALSE,4.004160325,2.99676934875,4.990667365499999,0.95,median,qi
012,v_Slearned_lMTRUE,4.21543958,3.3151521882500004,5.09615273175,0.95,median,qi
012,v_Snovel_lMFALSE,3.641691385,2.7381731665,4.54513145375,0.95,median,qi
012,v_Snovel_lMTRUE,4.60684964,3.611535166,5.5682104705,0.95,median,qi
013,A,0.7063024250000001,0.21837665625,2.9223958572499997,0.95,median,qi
013,B_lRlearned,1.954698045,1.0659103777500003,2.85601022725,0.95,median,qi
013,B_lRnovel,2.096285085,1.1605428395,3.02734449925,0.95,median,qi
013,sv_lMTRUE,0.936512765,0.76395536875,1.15219989925,0.95,median,qi
013,t0,0.213625605,0.08521580399999999,0.38643158325,0.95,median,qi
013,v_Slearned_lMFALSE,2.59764046,1.5862143012499998,3.941042068,0.95,median,qi
013,v_Slearned_lMTRUE,2.65023519,1.6801027642500004,3.9288939152499998,0.95,median,qi
013,v_Snovel_lMFALSE,2.118335,1.0839754240000001,3.3520381527499996,0.95,median,qi
013,v_Snovel_lMTRUE,2.97665402,2.009207258,4.358896786999999,0.95,median,qi
014,A,0.8970861050000001,0.24365292075000008,3.447836706749999,0.95,median,qi
014,B_lRlearned,2.1948642850000004,1.3586333529999999,3.0115211837499998,0.95,median,qi
014,B_lRnovel,2.0011535350000003,1.2876441087500001,2.583076496,0.95,median,qi
014,sv_lMTRUE,0.866611025,0.70128587025,1.0676425862499999,0.95,median,qi
014,t0,0.12029057500000001,0.056368701,0.27030806974999994,0.95,median,qi
014,v_Slearned_lMFALSE,2.5970433350000004,1.7639190467499999,4.016002177749999,0.95,median,qi
014,v_Slearned_lMTRUE,2.442655915,1.5235529207500007,3.769628954,0.95,median,qi
